"City","city_ascii","id","State","county_fips","County","Lat","Long","population","population_proper","density","source","incorporated","timezone","Zipcode","nid"
"Christine","Christine","TX","Texas","48013","Atascosa","28.7861","-98.4978","415","415","93","polygon","True","America/Chicago","78012","1840023164"
"Masterson","Masterson","TX","Texas","48341","Moore","35.6359","-101.9602","","","0.0","point","False","America/Chicago","79058","1840032588"
"El Refugio","El Refugio","TX","Texas","48427","Starr","26.3406","-98.7589","","","134.8","polygon","False","America/Chicago","78582","1840018312"
"Fort Griffin","Fort Griffin","TX","Texas","48417","Shackelford","32.9321","-99.2301","","","0.8","point","False","America/Chicago","76430","1840032666"
"Rule","Rule","TX","Texas","48207","Haskell","33.1820","-99.8932","616","616","341","polygon","True","America/Chicago","79547","1840022026"
"Bozar","Bozar","TX","Texas","48333","Mills","31.5168","-98.5970","","","1.2","point","False","America/Chicago","76844","1840036648"
"Crowley","Crowley","TX","Texas","48439","Tarrant","32.5780","-97.3584","15389","15389","819","polygon","True","America/Chicago","76036","1840019431"
"Pyote","Pyote","TX","Texas","48475","Ward","31.5381","-103.1225","122","122","36","polygon","True","America/Chicago","79777","1840022149"
"Hills Prairie","Hills Prairie","TX","Texas","48021","Bastrop","30.0516","-97.2919","","","2.8","point","False","America/Chicago","78602","1840037029"
"La Rosita","La Rosita","TX","Texas","48427","Starr","26.4020","-98.9326","","","221.6","polygon","False","America/Chicago","78582 78584","1840037054"
"Gageby","Gageby","TX","Texas","48483","Wheeler","35.6198","-100.3401","","","1.1","point","False","America/Chicago","79014","1840036856"
"Roaring Springs","Roaring Springs","TX","Texas","48345","Motley","33.8992","-100.8561","239","239","86","polygon","True","America/Chicago","79256","1840021914"
"Old Glory","Old Glory","TX","Texas","48433","Stonewall","33.1298","-100.0559","","","36.2","point","False","America/Chicago","79540","1840022938"
"Batesville","Batesville","TX","Texas","48507","Zavala","28.9551","-99.6237","","","243.4","polygon","False","America/Chicago","78829","1840018282"
"Benavides","Benavides","TX","Texas","48131","Duval","27.5982","-98.4095","1285","1285","275","polygon","True","America/Chicago","78341","1840019712"
"Oak Ridge","Oak Ridge","TX","Texas","48257","Kaufman","32.6489","-96.2598","619","619","77","polygon","True","America/Chicago","75142 75161","1840023036"
"Cistern","Cistern","TX","Texas","48149","Fayette","29.8158","-97.2186","","","7.7","point","False","America/Chicago","78941","1840036201"
"Bunker Hill Village","Bunker Hill Village","TX","Texas","48201","Harris","29.7647","-95.5317","3974","3974","1064","polygon","True","America/Chicago","77024","1840019618"
"Centerville","Centerville","TX","Texas","48289","Leon","31.2580","-95.9797","899","899","204","polygon","True","America/Chicago","75833","1840019539"
"Kosse","Kosse","TX","Texas","48293","Limestone","31.3070","-96.6293","466","466","139","polygon","True","America/Chicago","76653","1840022144"
"Briar","Briar","TX","Texas","48497","Wise","32.9884","-97.5528","","","86.5","polygon","False","America/Chicago","76023 76020","1840018035"
"Florence Hill","Florence Hill","TX","Texas","48113","Dallas","32.6732","-97.0153","","","2912.7","point","False","America/Chicago","75052","1840036696"
"Bruni","Bruni","TX","Texas","48479","Webb","27.4282","-98.8322","","","408.7","polygon","False","America/Chicago","78344","1840018291"
"Denver City","Denver City","TX","Texas","48501","Yoakum","32.9680","-102.8318","5369.0","4871","745","polygon","True","America/Chicago","79323","1840022029"
"Bay City","Bay City","TX","Texas","48321","Matagorda","28.9816","-95.9603","18653.0","17528","771","polygon","True","America/Chicago","77414","1840019682"
"Benoit","Benoit","TX","Texas","48399","Runnels","31.7829","-99.8290","","","2.5","point","False","America/Chicago","76821","1840036665"
"Tankersley","Tankersley","TX","Texas","48451","Tom Green","31.3496","-100.6434","","","5.6","point","False","America/Chicago","76904","1840023020"
"Hilltop Colonia","Hilltop Colonia","TX","Texas","48427","Starr","26.4040","-98.9207","","","221.6","polygon","False","America/Chicago","78582","1840037121"
"Irving","Irving","TX","Texas","48113","Dallas","32.8584","-96.9702","240373","240373","1384","polygon","True","America/Chicago","75063 75061 75060 75038 75039 75062 75014 75015 75016 75017 75059 75261 75326 75368","1840019438"
"Paint Rock","Paint Rock","TX","Texas","48095","Concho","31.5100","-99.9253","293","293","68","polygon","True","America/Chicago","76866","1840023127"
"Falcon","Falcon","TX","Texas","48505","Zapata","26.6381","-99.0956","","","262.6","point","False","America/Chicago","78545","1840036229"
"Hoskins","Hoskins","TX","Texas","48039","Brazoria","29.1341","-95.2344","","","0.0","point","False","America/Chicago","77541","1840033171"
"Coppell","Coppell","TX","Texas","48113","Dallas","32.9639","-96.9907","41941","41941","1121","polygon","True","America/Chicago","75019 75099","1840019439"
"Lucas","Lucas","TX","Texas","48085","Collin","33.0950","-96.5792","7483","7483","200","polygon","True","America/Chicago","75002","1840020656"
"Spring Hill","Spring Hill","TX","Texas","48183","Gregg","32.5629","-94.8022","","","728.8","point","False","America/Chicago","75605","1840036339"
"Arroyo Gardens","Arroyo Gardens","TX","Texas","48061","Cameron","26.2052","-97.5021","","","22.9","polygon","False","America/Chicago","78583 78586","1840037140"
"Meadows Place","Meadows Place","TX","Texas","48157","Fort Bend","29.6513","-95.5873","4621","4621","1903","polygon","True","America/Chicago","77477","1840020949"
"Marlin","Marlin","TX","Texas","48145","Falls","31.3085","-96.8934","5571.0","5701","487","polygon","True","America/Chicago","76661","1840020844"
"Brashear","Brashear","TX","Texas","48223","Hopkins","33.1187","-95.7336","","","136.5","point","False","America/Chicago","75420","1840036181"
"Carlos","Carlos","TX","Texas","48185","Grimes","30.5946","-96.0780","","","18.3","point","False","America/Chicago","77830","1840036814"
"Stanfield","Stanfield","TX","Texas","48077","Clay","33.9693","-97.9998","","","0.4","point","False","America/Chicago","76365","1840033550"
"Lefors","Lefors","TX","Texas","48179","Gray","35.4396","-100.8039","492","492","487","polygon","True","America/Chicago","79054","1840022590"
"Maxwell","Maxwell","TX","Texas","48055","Caldwell","29.8811","-97.7933","","","219.7","point","False","America/Chicago","78656","1840036281"
"Cameron Park","Cameron Park","TX","Texas","48061","Cameron","25.9705","-97.4775","","","2494.2","polygon","False","America/Chicago","78526","1840037090"
"Sterling City","Sterling City","TX","Texas","48431","Sterling","31.8392","-100.9860","993","993","391","polygon","True","America/Chicago","76951","1840022127"
"El Campo","El Campo","TX","Texas","48481","Wharton","29.1989","-96.2751","11870.0","11751","525","polygon","True","America/Chicago","77437","1840020966"
"Haskell","Haskell","TX","Texas","48207","Haskell","33.1597","-99.7320","2992.0","3217","345","polygon","True","America/Chicago","79521","1840020671"
"Silver Valley","Silver Valley","TX","Texas","48083","Coleman","31.9565","-99.5462","","","17.8","point","False","America/Chicago","76834","1840036977"
"Groesbeck","Groesbeck","TX","Texas","48293","Limestone","31.5258","-96.5284","3938.0","4318","384","polygon","True","America/Chicago","76642","1840020821"
"Irene","Irene","TX","Texas","48217","Hill","31.9921","-96.8714","","","24.4","point","False","America/Chicago","76650","1840036251"
"Pinehurst","Pinehurst","TX","Texas","48361","Orange","30.1087","-93.7705","2073","2073","468","polygon","True","America/Chicago","77630","1840020912"
"Zapata","Zapata","TX","Texas","48505","Zapata","26.9027","-99.2612","","","480.6","polygon","False","America/Chicago","78076","1840019723"
"Point Comfort","Point Comfort","TX","Texas","48057","Calhoun","28.6715","-96.5589","704","704","206","polygon","True","America/Chicago","77978","1840020995"
"Blum","Blum","TX","Texas","48217","Hill","32.1419","-97.3972","457","457","178","polygon","True","America/Chicago","76627","1840022121"
"Arlington","Arlington","TX","Texas","48439","Tarrant","32.6998","-97.1250","396394","396394","1597","polygon","True","America/Chicago","76040 76006 76001 76002 76018 76013 76012 76011 76010 76017 76016 76015 76014 76003 76004 76005 76007 76019 76094 76096","1840019422"
"Montgomery","Montgomery","TX","Texas","48339","Montgomery","30.3917","-95.6965","970","970","79","polygon","True","America/Chicago","77356 77316","1840020885"
"Newark","Newark","TX","Texas","48497","Wise","33.0049","-97.4855","1161","1161","501","polygon","True","America/Chicago","76071","1840020635"
"West Odessa","West Odessa","TX","Texas","48135","Ector","31.8388","-102.4996","","","621.9","polygon","False","America/Chicago","79763 79764 79760","1840037100"
"Nazareth","Nazareth","TX","Texas","48069","Castro","34.5416","-102.1021","304","304","323","polygon","True","America/Chicago","79063","1840022727"
"Bellville","Bellville","TX","Texas","48015","Austin","29.9472","-96.2597","4137.0","4236","615","polygon","True","America/Chicago","77418","1840019624"
"Exum","Exum","TX","Texas","48205","Hartley","36.0270","-102.1944","","","0.0","point","False","America/Chicago","79022","1840033037"
"McNair","McNair","TX","Texas","48201","Harris","29.8041","-95.0216","","","755.2","point","False","America/Chicago","77521","1840036285"
"Addison","Addison","TX","Texas","48113","Dallas","32.9587","-96.8356","15458","15458","1363","polygon","True","America/Chicago","75254 75001 75391","1840022057"
"Abbott","Abbott","TX","Texas","48217","Hill","31.8870","-97.0800","363","363","237","polygon","True","America/Chicago","76621","1840019506"
"Woodsboro","Woodsboro","TX","Texas","48391","Refugio","28.2379","-97.3255","1459","1459","744","polygon","True","America/Chicago","78393","1840023165"
"Montague","Montague","TX","Texas","48337","Montague","33.6653","-97.7210","","","282.6","polygon","False","America/Chicago","76251","1840025867"
"Wolfe City","Wolfe City","TX","Texas","48231","Hunt","33.3687","-96.0720","1442","1442","495","polygon","True","America/Chicago","75496","1840022016"
"Jonesboro","Jonesboro","TX","Texas","48099","Coryell","31.6146","-97.8767","","","48.6","point","False","America/Chicago","76538","1840036630"
"Placid","Placid","TX","Texas","48307","McCulloch","31.3254","-99.1845","","","13.1","point","False","America/Chicago","76872","1840036921"
"Wilcox","Wilcox","TX","Texas","48051","Burleson","30.4460","-96.3794","","","0.5","point","False","America/Chicago","77878","1840033543"
"Texline","Texline","TX","Texas","48111","Dallam","36.3765","-103.0189","529","529","201","polygon","True","America/Denver","79087","1840022674"
"Aloe","Aloe","TX","Texas","48469","Victoria","28.7667","-97.0761","","","44.2","point","False","America/Chicago","77905","1840036361"
"Martinsville","Martinsville","TX","Texas","48347","Nacogdoches","31.6427","-94.4141","","","9.3","point","False","America/Chicago","75961","1840036501"
"Whitharral","Whitharral","TX","Texas","48219","Hockley","33.7376","-102.3271","","","159.7","point","False","America/Chicago","79380","1840036612"
"Peden","Peden","TX","Texas","48439","Tarrant","32.9526","-97.5339","","","131.1","point","False","America/Chicago","76020","1840036740"
"Boydston","Boydston","TX","Texas","48179","Gray","35.1828","-101.0085","","","0.5","point","False","America/Chicago","79039","1840032788"
"Brazos Country","Brazos Country","TX","Texas","48015","Austin","29.7547","-96.0424","481","481","89","polygon","True","America/Chicago","77474","1840019625"
"Mexia","Mexia","TX","Texas","48293","Limestone","31.6809","-96.4833","6838.0","7394","396","polygon","True","America/Chicago","76667","1840020822"
"Boling","Boling","TX","Texas","48481","Wharton","29.2584","-95.9436","","","265.8","polygon","False","America/Chicago","77420","1840025142"
"Cuevitas","Cuevitas","TX","Texas","48215","Hidalgo","26.2585","-98.5787","","","144.8","polygon","False","America/Chicago","78565","1840036212"
"Balcones Heights","Balcones Heights","TX","Texas","48029","Bexar","29.4899","-98.5502","3277","3277","2003","polygon","True","America/Chicago","78201 78213","1840019654"
"Pharr","Pharr","TX","Texas","48215","Hidalgo","26.1686","-98.1904","79487","79487","1301","polygon","True","America/Chicago","78577","1840021030"
"Fort Worth","Fort Worth","TX","Texas","48439","Tarrant","32.7814","-97.3473","874168","874168","978","polygon","True","America/Chicago","76164 76040 76134 76135 76137 76131 76132 76133 76109 76108 76105 76104 76107 76106 76103 76102 76155 76053 76052 76123 76120 76244 76006 76008 76177 76036 76140 76262 76129 76179 76118 76119 76116 76117 76114 76115 76112 76110 76111 76127 76126 76101 76113 76121 76122 76124 76130 76147 76150 76161 76162 76163 76166 76191 76193 76195 76196 76197 76198 76199","1840020696"
"Milam","Milam","TX","Texas","48403","Sabine","31.4541","-93.7979","","","6.1","polygon","False","America/Chicago","75948 75959","1840019545"
"Morita","Morita","TX","Texas","48227","Howard","32.1846","-101.6337","","","0.0","point","False","America/Chicago","79720","1840032686"
"Balmorhea","Balmorhea","TX","Texas","48389","Reeves","30.9840","-103.7438","550","550","548","polygon","True","America/Chicago","79718","1840019527"
"White Oak","White Oak","TX","Texas","48183","Gregg","32.5313","-94.8564","6352","6352","269","polygon","True","America/Chicago","75693","1840022080"
"Mabelle","Mabelle","TX","Texas","48023","Baylor","33.6701","-99.1392","","","0.1","point","False","America/Chicago","76380","1840033274"
"Rainbow","Rainbow","TX","Texas","48425","Somervell","32.2654","-97.7142","","","86.1","point","False","America/Chicago","76043","1840036748"
"Grayburg","Grayburg","TX","Texas","48199","Hardin","30.1210","-94.4113","","","128.0","point","False","America/Chicago","77659","1840036238"
"Tamina","Tamina","TX","Texas","48339","Montgomery","30.1785","-95.4416","","","101.2","point","False","America/Chicago","77385","1840036343"
"Floresville","Floresville","TX","Texas","48493","Wilson","29.1400","-98.1630","7126.0","7572","473","polygon","True","America/Chicago","78114","1840020981"
"Silverton","Silverton","TX","Texas","48045","Briscoe","34.4714","-101.3041","680","680","261","polygon","True","America/Chicago","79257","1840021882"
"Sparks","Sparks","TX","Texas","48141","El Paso","31.6727","-106.2399","","","2100.4","polygon","False","America/Denver","79928","1840037097"
"Magnolia Springs","Magnolia Springs","TX","Texas","48241","Jasper","30.7355","-94.0266","","","20.5","point","False","America/Chicago","75956","1840036499"
"Granbury","Granbury","TX","Texas","48221","Hood","32.4483","-97.7685","35138.0","9923","287","polygon","True","America/Chicago","76048 76049","1840020749"
"Sagerton","Sagerton","TX","Texas","48207","Haskell","33.0770","-99.9557","","","5.8","point","False","America/Chicago","79548","1840036327"
"Beasley","Beasley","TX","Texas","48157","Fort Bend","29.4946","-95.9146","663","663","239","polygon","True","America/Chicago","77417","1840019647"
"Goldsmith","Goldsmith","TX","Texas","48135","Ector","31.9832","-102.6163","270","270","321","polygon","True","America/Chicago","79741","1840020793"
"Fairchilds","Fairchilds","TX","Texas","48157","Fort Bend","29.4398","-95.7777","1135","1135","220","polygon","True","America/Chicago","77461 77469","1840023153"
"Nacogdoches","Nacogdoches","TX","Texas","48347","Nacogdoches","31.6135","-94.6528","35192.0","33614","470","polygon","True","America/Chicago","75962 75961 75964 75965 75963","1840020820"
"Aubrey","Aubrey","TX","Texas","48121","Denton","33.2900","-96.9646","5407.0","3391","488","polygon","True","America/Chicago","76227","1840019387"
"Wickett","Wickett","TX","Texas","48475","Ward","31.5673","-103.0059","524","524","287","polygon","True","America/Chicago","79788","1840023126"
"Chancellor","Chancellor","TX","Texas","48371","Pecos","30.6927","-103.1741","","","0.0","point","False","America/Chicago","79735","1840032806"
"Kellerville","Kellerville","TX","Texas","48483","Wheeler","35.3717","-100.5029","","","0.0","point","False","America/Chicago","79079","1840032579"
"Santa Anna","Santa Anna","TX","Texas","48083","Coleman","31.7369","-99.3254","1044","1044","202","polygon","True","America/Chicago","76878","1840023107"
"Lakewood Heights","Lakewood Heights","TX","Texas","48409","San Patricio","28.1028","-97.8610","305","305","308","polygon","True","America/Chicago","78368","1840037012"
"Gun Barrel City","Gun Barrel City","TX","Texas","48213","Henderson","32.3277","-96.1286","16013.0","6102","376","polygon","True","America/Chicago","75156","1840020772"
"Parmerton","Parmerton","TX","Texas","48369","Parmer","34.5798","-102.8024","","","0.0","point","False","America/Chicago","79035","1840033511"
"Stockman","Stockman","TX","Texas","48419","Shelby","31.7793","-94.4066","","","21.2","point","False","America/Chicago","75975","1840036939"
"Carrizo Hill","Carrizo Hill","TX","Texas","48127","Dimmit","28.5032","-99.8294","","","441.1","polygon","False","America/Chicago","78834","1840037036"
"India","India","TX","Texas","48139","Ellis","32.5251","-96.6161","","","28.7","point","False","America/Chicago","75125","1840023205"
